business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
924 bird rd coral gable,,,"Coral Gables, FL 33146",25.734129499999998,-80.2720545,,,,,,serpapi
Aleida Martinez Family Day Care Center,(347) 692-9411,,"3448 SW 3rd St, Miami, FL 33135",25.768999599999997,-80.2522408,,5,9,Family day care service,,serpapi
All Atlantic Benefits,(305) 809-8211,https://www.allatlanticbenefits.com/,"200 S Park Rd Suite 475, Hollywood, FL 33021",26.0094101,-80.1771314,,,,Health insurance agency,,serpapi
Alliant Insurance Services Inc,(305) 421-0900,https://alliant.com/,"804 Douglas Rd Suite 830, Coral Gables, FL 33134",25.7637006,-80.2564044,,,,Insurance broker,,serpapi
Alzheimers Association,(800) 272-3900,https://www.alz.org/,"2828 Coral Wy #103, Miami, FL 33145",25.7497649,-80.2401091,,,,Association / Organization,,serpapi
Arrowhead Nursery and Kindergarten,(305) 264-2345,http://www.arrowheadkinder.com/,"1210 SW 78th Ct, Miami, FL 33144",25.7584964,-80.3225089,,4.7,6,"['Nursery school', 'Kindergarten']",,serpapi
Arthur J. Gallagher,(305) 592-6080,https://locations.ajg.com/us/fl/miami/9155-south-dadeland-boulevard?utm_source=google&utm_medium=Google_My_Business&utm_campaign=GMB_website_click_9155+South+Dadeland+Boulevard+Miami&y_source=1_MzE5NjgxMjctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"9155 S Dadeland Blvd Suite 1112, Miami, FL 33156",25.684675799999997,-80.3156236,,,,Insurance agency,,serpapi
Aurora Academy,,,"Miami, FL 33133",25.7352778,-80.2472222,,5,1,['Educational institution'],,serpapi
Aurora Medina Family Day Care Home,,,"Coral Gables, FL 33134",25.7603953,-80.2791271,,,,,,serpapi
Banyan Day School,(305) 447-1233,http://banyandayschool.org/,"340 Palermo Ave, Coral Gables, FL 33134",25.7452978,-80.261821,,5,31,"['Preschool', 'Bilingual school', ""Children's camp"", 'Kindergarten']",,serpapi
Baptist Health Brain & Spine Care | Coral Gables (Doctors Hospital),(786) 596-3876,https://baptisthealth.net/Neuroscience?y_source=1_MjAzMTMxOTIwMC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"1150 Campo Sano Ave Floors 1 & 2, Coral Gables, FL 33146",25.724371599999998,-80.2743994,,,,Medical office,,serpapi
Baptist Health Surgery | Coral Gables (Doctors Hospital),(305) 271-9777,https://baptisthealth.net/services/general-surgery?y_source=1_MTAyMTM0MjAxOC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"5000 University Dr Suite 1200, Coral Gables, FL 33146",25.7239418,-80.2741032,,,,Surgeon,,serpapi
Bevi,,http://drinkbeve.com/,"1800 SW 3rd Ave Suite 100, Miami, FL 33129",25.760737499999998,-80.2010485,,,,Beverage distributor,,serpapi
Bilingual Cooperative Preschool,(305) 665-3121,http://www.bilingualcoop.org/about_us4.php,"1205 FL-986, Miami, FL 33143",25.7050581,-80.2775589,,4.7,15,Preschool,,serpapi
Blare Media,,https://blarefilms.net/,"8370 SW 35th Terrace, Miami, FL 33155",25.7374548,-80.3314288,,,,Video production service,,serpapi
"Blueprint IT Consulting, LLC",(754) 702-8066,http://www.blueprintlearninggroup.com/,"3663 SW 8th St #204, Miami, FL 33135",25.764941999999998,-80.254406,,,,Consultant,,serpapi
Breakthrough T1D,,http://www.citybeautiful.net/,Florida,25.7491968,-80.2635411,,,,,,serpapi
BrownForman Beverages,,http://www.citybeautiful.net/,Florida,25.7491968,-80.2635411,,,,,,serpapi
Carlos Planas,(305) 442-6800,,"8532 SW 8th St #280, Miami, FL 33144",25.761002599999998,-80.33429939999999,,,,State government office,,serpapi
Child Care Center,(305) 666-2203,https://www.childcarecentermiami.com/,"5275 Sunset Dr, Miami, FL 33143",25.7049712,-80.2793849,,4.8,21,Day care center,,serpapi
Child Care Laboratory,(305) 444-9792,https://gablespreschool.org/,"3010 Columbus Blvd, Coral Gables, FL 33134",25.7428219,-80.2792346,,4.8,16,Preschool,,serpapi
Chiropractor - Coral Gables,(305) 446-1095,https://www.drmartingrossman.com/,"2780 SW 37th Ave # 205, Miami, FL 33133",25.7393903,-80.2544236,,4.8,259,Chiropractor,,serpapi
Christain Day Care Center,(305) 770-6195,https://icscoralgables.com/?y_source=1_MTk3OTk5MC03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"3930 S Le Jeune Rd, Coral Gables, FL 33134",25.7352867,-80.26257749999999,,4.9,56,Preschool,,serpapi
City National Bank,(305) 445-1941,https://www.citynational.com/,"2855 S Le Jeune Rd Suite 100, Coral Gables, FL 33134",25.7457806,-80.26218829999999,,3.8,25,Bank,,serpapi
Co Underscore,(305) 639-8218,https://groucommunity.com/,"4100 Salzedo St STE 5, Coral Gables, FL 33146",25.7335264,-80.2604422,,4.8,853,Coffee shop,,serpapi
Coach Ron Fraser,,,"Coral Gables, FL 33146",25.7313755,-80.2603802,,,,,,serpapi
Coconout Grove Elementary Head Start,,,"Miami, FL 33133",25.728888899999998,-80.2436111,,,,Preschool,,serpapi
Coconut Grove Christian School,,https://icscoralgables.com/,"414 Velarde Ave, Coral Gables, FL 33134",25.735417899999998,-80.2623708,,,,International school,,serpapi
Coconut Grove School,(305) 445-7876,https://www.coconutgroveschool.org/,"3351 Matilda St, Miami, FL 33133",25.728628699999998,-80.24309819999999,,,,Elementary school,,serpapi
Consulate of Australia  Miami,(305) 859-2003,,"259 SW 13th St, Miami, FL 33130",25.7617059,-80.19848499999999,,2.2,445,['Foreign consulate'],,serpapi
Continental Academy,(800) 285-3514,http://www.continentalacademy.com/,"15327 NW 60th Ave #235, Miami Lakes, FL 33014",25.912570799999997,-80.2988204,,,,Private educational institution,,serpapi
Coral Gables - Alex Brown-Raymond James,(786) 352-1580,https://www.alexbrown.com/coralgables,"396 Alhambra Cir Suite 701, Coral Gables, FL 33134",25.751446299999998,-80.262316,,,,Financial planner,,serpapi
Coral Gables Adult School,+1 305-443-4871,https://sites.google.com/view/coral-gables-adult/english?authuser=0,"Enter from Le Jeune Road, 450 Bird Rd Bldg #9, Coral Gables, FL 33146, United States",25.7321331,-80.2631457,,5,2,"['English language school', 'Adult education school', 'General education school']",,serpapi
Coral Gables Chiropractic,(305) 446-1095,https://www.drmartingrossman.com/,"2780 SW 37th Ave # 205, Miami, FL 33133",25.7393903,-80.2544236,,4.8,259,Chiropractor,,serpapi
Coral Gables Elementary School,(305) 448-1731,https://coralgablesprepacademy.net/,"105 Minorca Ave, Coral Gables, FL 33134",25.753972299999997,-80.2577555,,,,Middle school,,serpapi
