business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
19th Hole Sports Bar & Grill,,,"13610 Deering Bay Dr, Coral Gables, FL 33158",,,,5,,American restaurant,,serpapi
24/7 Nursing Care Inc.,(786) 518-3622,https://www.24-7nursingcare.com/,"9425 Sunset Dr #170, Miami, FL 33173",,,,4.4,,Home health care service,,serpapi
30+ years experience BrightView Landscape,,http://www.citybeautiful.net/,Florida,,,,,,,,serpapi
"30,000 sq ft meeting space Comber Hall",(855) 969-3080,https://biltmorehotel.com/coral-gables-event-venues/meeting-rooms/?utm_source=google&utm_medium=organic&utm_campaign=gmb-listing,"1200 Anastasia Ave suite w, Coral Gables, FL 33134",,,,4.5,,Event venue,,serpapi
305 Senior,(786) 441-8800,http://www.palacecoralgables.com/,"1 Andalusia Ave, Coral Gables, FL 33134",,,,4.9,,Assisted living facility,,serpapi
"4000 Ponce, LLC (CMC Group)",(305) 372-0550,http://cmcgroupmiami.com/,"1550 Biscayne Blvd #300, Miami, FL 33132",,,,3,,Real estate developer,,serpapi
4KIDS of South Florida,(954) 979-7911,https://www.4kids.us/,"2717 W Cypress Creek Rd, Fort Lauderdale, FL 33309",,,,4.8,35,Foster care service,,serpapi
7-Eleven,(305) 446-1533,https://www.7-eleven.com/locations/fl/coral-gables/3960-sw-8th-street-10535?utm_source=G&utm_medium=local&utm_campaign=google-local,"3960 SW 8th St, Coral Gables, FL 33134",,,,3.3,,Convenience store,,serpapi
924 bird rd coral gable,,,"Coral Gables, FL 33146",,,,,,,,serpapi
AAA Insurance,(305) 270-6450,https://locator.acg.aaa.com/fl/miami/aaa-kendall,"7074 SW 117th Ave, Kendall, FL 33183",,,,4.2,,Travel agency,,serpapi
AAA Million Auto Parts,(305) 642-5821,http://www.aaamillion.com/,"311 SW 22nd Ave, Miami, FL 33135",,,,4.5,,Auto parts store,,serpapi
accounting,(305) 448-0542,http://bpaaccounting.com/,"2030 Douglas Rd STE 119, Coral Gables, FL 33134",,,,5,,Accountant,,serpapi
Ace Hardware,(305) 284-1123,http://www.acehardware.com/store-details/15975?utm_source=google&utm_medium=local&utm_campaign=localmaps&utm_content=15975,"5749 Bird Rd, Miami, FL 33155",,,,4.3,,Hardware store,,serpapi
Actually Organized,(786) 512-0241,https://www.actuallyorganized.net/,,,,,5,,Custom home builder,,serpapi
Advanced Automation Programming,(305) 902-1651,http://www.aapmiami.com/,"401 Miracle Mile suite 100, Coral Gables, FL 33134",,,,5,,Home automation company,,serpapi
advertising,(305) 677-1621,http://kukicadvertising.com/,"95 Merrick Wy Suite 300, Coral Gables, FL 33134",,,,5,,Advertising agency,,serpapi
Agave Holdings,+1 305-723-9898,https://www.maizyagave.com/,"375 Miracle Mile, Miami, FL 33134, United States",,,,4.7,,Mexican restaurant,,serpapi
"Agave Plaza Trustee, LLC",(305) 459-8131,https://theplazacoralgables.com/,"2811 Ponce de Leon Blvd, Coral Gables, FL 33134",,,,3.9,,Leisure center,,serpapi
AI Digital,(305) 260-7577 ext. 1222,https://www.americadigital.com/,"2525 Ponce De Leon Blvd., Suite 250 Coral Gables, Miami, FL 33134",,,,,,Media company,,serpapi
Airports,(305) 876-7000,https://www.miami-airport.com/,"2100 NW 42nd Ave, Miami, FL 33142",,,,3.9,,International airport,,serpapi
Aldi,(855) 955-2534,https://www.aldi.us/stores/l/fl/miami/3750-s-dixie-hwy/fa44,"3750 S Dixie Hwy, Miami, FL 33133",,,,4.3,,Supermarket,,serpapi
Alegro Music Center,(305) 740-9400,,"6869 SW 8th St, Miami, FL 33144",,,,4.6,,Musical instrument store,,serpapi
Alianza Strategies,(305) 381-5116,http://www.alianzalawfirm.com/contact.html,"2100 Coral Wy, Coral Gables, FL 33145",,,,5,,Legal services,,serpapi
"Alice Bravo & Assoc., LLC",(305) 209-9019,http://www.pabravo.com/,"2525 Ponce de Leon Blvd Ste 300, Coral Gables, FL 33134",,,,,,Legal services,,serpapi
All Atlantic Benefits,(305) 809-8211,https://www.allatlanticbenefits.com/,"200 S Park Rd Suite 475, Hollywood, FL 33021",,,,,,Health insurance agency,,serpapi
"All My Sons Moving & Storage of Miami, LLC",(305) 363-1655,https://www.allmysons.com/miami/index.aspx?utm_source=GMBlisting&utm_medium=organic&phone=305-363-1655,"111 NE 1st St 8th Floor #1004, Miami, FL 33132",,,,3.8,,Moving and storage service,,serpapi
AllianzTrade,(305) 269-1955,https://www.allianz-trade.com/en_US.html,"10451 NW 117th Ave #101, Miami, FL 33178",,,,5,,Insurance agency,,serpapi
Allied North America Insurance Brokerage Of FL LLC,(305) 448-5156,,"2600 Douglas Rd # 713, Coral Gables, FL 33134",,,,2.6,,Insurance agency,,serpapi
Alpha Claims Consultants,(786) 496-2377,http://alphaclaimscorp.com/,"8362 Pines Blvd Suite 402, Pembroke Pines, FL 33024",,,,4.4,,Business management consultant,,serpapi
Alzheimers Association,(800) 272-3900,https://www.alz.org/,"2828 Coral Wy #103, Miami, FL 33145",,,,,,Association / Organization,,serpapi
Amerant Bank,(305) 460-4001,https://www.amerantbank.com/branches/fl/coral-gables/220-alhambra-circle,"220 Alhambra Cir, Coral Gables, FL 33134",,,,4,,Bank,,serpapi
American Red Cross,(305) 644-1200,https://www.redcross.org/local/florida/south-florida/about-us/locations/greater-miami-the-keys.html?CID=organic_gmb_listings,"335 SW 27th Ave, Miami, FL 33135",,,,4.6,,Non-profit organization,,serpapi
Anne Rezac Design,(786) 558-5855,https://nandezdesign.com/,"2234 Coral Wy, Miami, FL 33145",,,,4.8,,General contractor,,serpapi
