business_name,phone,website,address,lat,lon,postcode,rating,review_count,category_raw,price,source
Mind and Soul Therapy & Acupuncture - South Miami,(305) 456-1014,http://www.mindandsoultherapy.org/?utm_source=gmb_auth,"7600 SW 57th Ave STE 102, South Miami, FL 33143",25.7002733,-80.2854807,33143,5,26,Mental health clinic,None,apify
ARC Mental Health,(786) 916-6073,https://www.arcmentalhealth.com/,"7241 SW 63rd Ave STE 101A, South Miami, FL 33143",25.7030699,-80.2955618,33143,5,3,Counselor,None,apify
Oneness Therapeutic Center,(954) 624-6016,http://onenesstherapeutic.com/,"8353 SW 124th St #107, Miami, FL 33156",25.6556703,-80.3296882,33156,5,18,Counselor,None,apify
Brighter Hearts Counseling LLC,(305) 783-9452,http://www.brighterheartscounseling.com/,"1390 S Dixie Hwy Ste 2111, Coral Gables, FL 33146",25.7107078,-80.2800273,33146,5,33,Counselor,None,apify
"Ana M. Moreno, LMHC, MCAP, CIP, CAI, ICADC",(305) 804-0151,http://www.amorenotherapy.com/,"5901 SW 74th St Ste 210, South Miami, FL 33143",25.7025168,-80.2896701,33143,5,8,Mental health service,None,apify
MNRS Physical Therapy South Miami,(305) 661-8040,http://miamiphysicaltherapy.com/,"5975 Sunset Dr Ste 405, South Miami, FL 33143",25.704631,-80.290768,33143,5,265,Physical therapy clinic,None,apify
Siegel Counseling Services,(305) 613-1101,http://www.siegelcounseling.com/,"5900 SW 73rd St #207, South Miami, FL 33143",25.7032042,-80.2895952,33143,5,1,Mental health service,None,apify
Intuitive Counseling,(305) 318-2839,https://www.intuitivecounseling.org/,"1450 Madruga Ave Ste 302, Coral Gables, FL 33146",25.7087969,-80.2821877,33146,5,54,Counselor,None,apify
"Luna Psychology Group, PA",(786) 508-2207,http://www.lunapsychology.com/,"7600 Red Rd Suite 200 & 217, South Miami, FL 33143",25.7002293,-80.2856598,33143,4.3,6,Psychologist,None,apify
South Miami Animal Clinic,(305) 667-7238,https://petpaws.net/,"6100 S Dixie Hwy, South Miami, FL 33143",25.7020165,-80.291876,33143,4.8,236,Veterinarian,None,apify
Miami Veterinary Specialists,(305) 665-2820,http://mvshospital.com/,"8601 Sunset Dr, Miami, FL 33143",25.7026274,-80.3333915,33143,3.5,983,Veterinarian,None,apify
South Miami Vets and Pets,(305) 255-7838,https://southmiamivetsandpets.com/,"12035 S Dixie Hwy #200, Pinecrest, FL 33156",25.6585114,-80.3269289,33156,4.9,142,Veterinarian,None,apify
Miami Veterinary Specialists: Emergency Room,(305) 665-2820,http://mvshospital.com/,"8601 Sunset Dr, Miami, FL 33143",25.7025384,-80.3333713,33143,4.3,405,Emergency room,None,apify
Dadeland Animal Hospital,(305) 671-3647,https://www.dadelandanimalhospital.com/,"9495 Old Dixie Hwy, Miami, FL 33156",25.6823525,-80.3159687,33156,4.8,421,Veterinarian,None,apify
VCA South Dade Animal Hospital,(305) 661-2573,https://vcahospitals.com/south-dade?utm_source=maps&utm_medium=organic&utm_campaign=AU_1058,"7230 N Kendall Dr, Kendall, FL 33156",25.6876121,-80.3116247,33156,4.5,327,Veterinarian,None,apify
Animal Clinic of Miami Dade,(305) 262-8888,https://animalclinicofmiadade.com/,"2134 Ludlam Rd, Miami, FL 33155",25.750568,-80.3038125,33155,4.5,432,Veterinarian,None,apify
Southwest Animal Hospital,(305) 661-7765,https://southwestanimalmiami.vetsfirstchoice.com/,"6448 Bird Rd, Miami, FL 33155",25.7332963,-80.3002506,33155,4.8,159,Veterinarian,None,apify
Animal Health & Rehab Center,(305) 665-3526,http://www.animalhealthrehab.com/,"7535 SW 62nd Ave, South Miami, FL 33143",25.7007948,-80.2930386,33143,4.9,97,Animal hospital,None,apify
South Kendall Animal Hospital,(305) 238-2030,http://www.southkendall.com/,"14201 S Dixie Hwy, Palmetto Bay, FL 33176",25.6381476,-80.3362384,33176,4.7,405,Veterinarian,None,apify
Thrive Pet Healthcare Specialists Miami,(305) 666-4142,https://www.thrivepetcare.com/locations/florida/miami/miami-specialty-emergency/?utm_source=gmb&utm_medium=web,"6394 S Dixie Hwy, Miami, FL 33143",25.6978667,-80.29705,33143,3.9,588,Emergency veterinarian service,None,apify
Miami Animal Clinic,(786) 542-6070,https://www.miamianimalclinic.net/,"7345 SW 8th St, Miami, FL 33144",25.7631378,-80.3148799,33144,4.8,1139,Veterinarian,None,apify
Miami Veterinary Dermatology,(305) 740-3376,https://miamivetderm.com/,"6448 S Dixie Hwy Unit E, South Miami, FL 33143",25.6969906,-80.297375,33143,4.6,131,Veterinarian,None,apify
Royal Vet - Animal Hospital in Pinecrest,(305) 590-5008,https://royalvet.com/locations/miami/pinecrest/,"12303 S Dixie Hwy, Pinecrest, FL 33156",25.6560314,-80.3279056,33156,5,429,Veterinarian,None,apify
VCA Knowles Snapper Creek Animal Hospital,(305) 279-2323,https://vcahospitals.com/knowles-snapper-creek?utm_source=maps&utm_medium=organic&utm_campaign=AU_4071,"9933 Sunset Dr, Miami, FL 33173",25.7018209,-80.3543645,33173,4.1,456,Veterinarian,None,apify
Ludlam Dixie Animal Clinic,(305) 662-4202,,"8271 S Dixie Hwy, Miami, FL 33143",25.69333,-80.3015616,33143,4.8,47,Animal hospital,None,apify
The Pet Emergency Room,(305) 666-4142,http://www.svrcflorida.com/,"6394 S Dixie Hwy, South Miami, FL 33143",25.6977763,-80.2969453,33143,3.5,359,Animal hospital,None,apify
Sunset Animal Clinic | Miami FL,(786) 821-0607,http://sunsetvets.com/,"8776 SW 72nd St, Miami, FL 33173",25.7014534,-80.3355971,33173,4.6,225,Veterinarian,None,apify
Red Bird Animal Clinic,(305) 661-6466,http://www.redbirdanimalclinic.com/,"5753 Bird Rd, Miami, FL 33155",25.7347692,-80.2878848,33155,4.8,229,Veterinarian,None,apify
Banfield Pet Hospital,(305) 669-4982,https://www.banfield.com/locations/veterinarians/fl/miami/dad?utm_source=yext&utm_medium=yext&utm_campaign=yext&cid=yext_local,"8302 S Dixie Hwy, Miami, FL 33143",25.6933898,-80.3060862,33143,3.7,197,Veterinarian,None,apify
Alexander At The Park Veterinary Hospital,(919) 484-9900,https://alexanderattheparkvethospital.com/,"2945 S Miami Blvd #125, Durham, NC 27703",35.9247803,-78.8441764,27703,4.7,74,Veterinarian,None,apify
GoDog Research Triangle Park (RTP),(919) 373-3013,https://godoghq.com/research-triangle-park-intro-offer/,"2612 S Miami Blvd Units 101-106, Durham, NC 27703",35.9315001,-78.8440002,27703,4.5,122,Dog day care center,None,apify
Law Offices of M J Louis,(305) 377-9646,http://mjlouislaw.com/,"75 Valencia Ave #400, Coral Gables, FL 33134",25.748271,-80.256048,33134,5,103,Law firm,None,apify
Law Offices of Martin J Rivas PA,(305) 441-2221,,"801 Madrid St, Coral Gables, FL 33134",25.7635841,-80.282013,33134,4.8,69,Attorney,None,apify
"Patino & Associates, P.A.",(305) 443-6163,https://www.patinolaw.com/,"113 Almeria Ave, Coral Gables, FL 33134",25.7474212,-80.2569989,33134,4.7,40,General practice attorney,None,apify
"Law Offices of Feldman, Baron & Ventura",(305) 443-5235,http://feldman.attorney/,"100 Almeria Ave #330, Coral Gables, FL 33134",25.7468884,-80.2568555,33134,4.8,196,Attorney,None,apify
Law Offices of Nicole Alvarez P.A.,(305) 440-0736,http://nicolealvarezpa.com/,"1600 Ponce de Leon Blvd 10th floor, Coral Gables, FL 33134",25.7570339,-80.2591846,33134,4.9,98,Family law attorney,None,apify
"The Law Offices of Walter A. Reynoso, P.A.",(305) 441-8881,https://lawreynoso.com/,"2030 Douglas Rd Ste 214, Coral Gables, FL 33134",25.7536847,-80.2552493,33134,4.8,51,Trial attorney,None,apify
The Law Offices of Anidjar & Levine,(305) 384-6882,https://www.anidjarlevine.com/miami-personal-injury-lawyer/?utm_source=google&utm_medium=organic&utm_campaign=gbp-listing-coral-gables,"75 Valencia Ave Suite 100, Coral Gables, FL 33134",25.7482732,-80.2561336,33134,4.9,122,Personal injury attorney,None,apify
"Dominguez Law Firm, PLLC",(305) 741-4214,http://www.mdominguezlaw.com/,"121 Alhambra Plz # 1000, Coral Gables, FL 33134",25.7525739,-80.2572066,33134,5,56,Immigration attorney,None,apify
Traffic Law Firm,(305) 442-0243,,"122 Minorca Ave, Coral Gables, FL 33134",25.7536878,-80.2574518,33134,4.9,74,Attorney,None,apify
Vasquez de Lara Law Group,(305) 614-2135,https://www.familylawprotection.com/florida/locations/coral-gables/,"201 Alhambra Cir #500, Coral Gables, FL 33134",25.7525938,-80.2597939,33134,5,63,Divorce lawyer,None,apify
Law Offices of Diego Traibel,(305) 791-6775,,"2100 Ponce de Leon Blvd #1290, Coral Gables, FL 33134",25.7533353,-80.2590755,33134,5,37,Trial attorney,None,apify
The Florida Divorce & Criminal Defense Lawyers - Coral Gables,(786) 901-7960,https://thepathtojustice.com/?utm_source=GBP&utm_medium=organic&utm_campaign=Coral_Gables,"2600 Douglas Rd Ste 502, Coral Gables, FL 33134",25.7479119,-80.2548475,33134,4.7,15,Criminal justice attorney,None,apify
"The Gilchrist Law Firm, P.A.",(786) 408-6815,https://jpgilchristlaw.com/,"2525 Ponce de Leon Blvd Suit 300, Coral Gables, FL 33134",25.7484691,-80.2581627,33134,4.8,61,Legal services,None,apify
Dohan Law,(305) 536-3400,http://www.dohanlaw.com/,"2020 Ponce de Leon Blvd #1006, Coral Gables, FL 33134",25.753973,-80.259171,33134,4.9,75,Attorney,None,apify
"Cornish Hernandez Gonzalez, PLLC",(305) 745-7035,http://www.chglawyers.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"2525 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7484947,-80.2581494,33134,5,231,Personal injury attorney,None,apify
Law Office of Aburto P.A.,(305) 694-9690,http://www.aburtolaw.co/,"717 Ponce de Leon Blvd STE 225, Coral Gables, FL 33134",25.7653633,-80.2578323,33134,4.9,307,Attorney,None,apify
Martha Mendez of Feinstein & Mendez,(786) 404-1024,https://fmpalawfirm.com/?utm_source=organic&utm_medium=gbp&utm_campaign=nsa-seo,"2600 Douglas Rd Ste 506, Coral Gables, FL 33134",25.7477553,-80.2547272,33134,5,201,Estate planning attorney,None,apify
Cohen Law,(305) 967-7550,http://www.cohenlawpa.com/,"2332 Galiano St 2nd floor, Coral Gables, FL 33134",25.7503404,-80.2570322,33134,4.8,31,Trial attorney,None,apify
The McGill Law Firm,(786) 375-5621,https://www.mcgilllegal.com/,"2655 S Le Jeune Rd 5th Floor, Coral Gables, FL 33134",25.7474653,-80.2617577,33134,5,70,Law firm,None,apify
"Law Office Manuel Gonzalez, Jr & Gabriel Gonzalez",(305) 444-1400,https://mannygonzalezlaw.com/,"121 Alhambra Plz #1500, Coral Gables, FL 33134",25.7526307,-80.257165,33134,5,29,Attorney,None,apify
Coral Gables Dentistry,(305) 567-1992,https://www.coralgablesdentistry.com/,"3326 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7406474,-80.2585882,33134,5,395,Dentist,None,apify
Advanced Smile Dental Clinic,(786) 391-0588,https://www.advancedsmileclinic.com/,"3934 SW 8th St #306, Coral Gables, FL 33134",25.7643531,-80.2601624,33134,4.9,251,Dentist,None,apify
Dentists of Coral Gables,(305) 239-8806,https://www.dentistsofcoralgables.com/?sc_cid=GBP%3AO%3AGP%3A984%3AOrganic_Search%3AGeneral%3Ana&_vsrefdom=organic_gbp&y_source=1_MTA5OTAzMzctNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"290 Alhambra Cir, Coral Gables, FL 33134",25.751598,-80.260606,33134,4.5,304,Dentist,None,apify
Precision Dental Studio,(786) 703-5523,https://precisiondental.studio/,"277 Minorca Ave, Coral Gables, FL 33134",25.7538612,-80.2604368,33134,5,13,Dentist,None,apify
Vida Dental Coral Gables,(305) 496-1618,https://www.vidadentalcoralgables.com/,"336 Sevilla Ave, Coral Gables, FL 33134",25.746049,-80.2613778,33134,4.8,435,Dentist,None,apify
South Gables Dental,(305) 665-1263,http://southgablesdental.com/,"4950 S Le Jeune Rd suite c, Coral Gables, FL 33146",25.7248563,-80.2618844,33146,4.9,176,Dentist,None,apify
Miro Dental Centers of Coral Gables,(954) 737-7380,https://mirodentalcenter.com/coral-gables-fl/,"564 SW 42nd Ave 2nd floor, Coral Gables, FL 33134",25.7661899,-80.263593,33134,4.7,434,Dentist,None,apify
Gables Dental Care,(305) 443-7501,http://dafd.miami/?utm_gables_location,"3815 SW 8th St, Coral Gables, FL 33134",25.7650359,-80.2576228,33134,4.9,91,Dentist,None,apify
D'Art Dental,(786) 751-3478,http://dartdentalmiami.com/,"3934 SW 8th St #205, Coral Gables, FL 33134",25.7643531,-80.2601624,33134,5,580,Cosmetic dentist,None,apify
Gables Perfect Smile,(305) 443-8225,https://www.gablesperfectsmile.com/locations/coral-gables-office/,"1805 Ponce de Leon Blvd Ste 401, Coral Gables, FL 33134",25.7557611,-80.2586565,33134,4.9,377,Dentist,None,apify
Forma Dental,(786) 841-8030,https://www.formadental.co/,"69 Merrick Wy, Coral Gables, FL 33134",25.7510835,-80.255759,33134,5,197,Dentist,None,apify
Miami Dental Heaven - Coral Gables Dentist,(305) 446-1067,https://www.miamidentalheaven.com/,"4830 SW 8th St, Coral Gables, FL 33134",25.763969,-80.273852,33134,5,71,Dentist,None,apify
Benitez Dental Center,(786) 442-2122,https://benitezdentalcenter.com/,"401 Coral Wy Ste 300, Coral Gables, FL 33134",25.7497766,-80.2631113,33134,5,88,Dentist,None,apify
MIA Dental - Coral Gables,(305) 444-8591,https://miadental.net/,"747 Ponce de Leon Blvd STE 401, Coral Gables, FL 33134",25.7648747,-80.2583119,33134,4.7,291,Dentist,None,apify
Gables Family Dental of Coral Gables,(305) 529-9595,https://gablesfamily.com/,"401 Coral Wy Ste 109, Coral Gables, FL 33134",25.7500789,-80.2628914,33134,4.9,373,Dentist,None,apify
Companioni Dental Smile,(786) 304-2447,https://companionidentalsmile.com/,"475 Biltmore Way #110, Coral Gables, FL 33134",25.7486795,-80.2646576,33134,5,120,Dentist,None,apify
Dental Leaders,(305) 442-1177,http://www.dentalleaders.com/,"336 Alhambra Cir, Miami, FL 33134",25.7516767,-80.2615508,33134,4.9,279,Dentist,None,apify
Gables Exceptional Dentistry,(305) 614-2438,https://www.gablesexceptionaldentistry.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp,"357 Almeria Ave Apt 105, Coral Gables, FL 33134",25.7470238,-80.2620569,33134,4.9,571,Dentist,None,apify
Abadin Dental - Invisalign Veneers Implants,(305) 783-3750,https://www.abadindental.com/,"504 Biltmore Way, Coral Gables, FL 33134",25.748019,-80.264949,33134,5,1428,Dentist,None,apify
Miami Smile Institute,(786) 703-9430,https://www.miamismileinstitute.com/,"1805 Ponce de Leon Blvd Ste 301, Coral Gables, FL 33134",25.7557534,-80.2586538,33134,4.7,85,Dental clinic,None,apify
Method X Fitness Coral Gables,(305) 299-9666,https://methodxfitness.com/,"475 Biltmore Way #106, Coral Gables, FL 33134",25.748646,-80.2644087,33134,4.8,176,Gym,None,apify
RZone Fitness Coral Gables | Women's Fitness Studio,(786) 321-3787,https://www.rzonefitness.com/coral-gables/?utm_source=GMB&utm_medium=Organic&utm_campaign=Coral+Gables,"112 Valencia Ave, Coral Gables, FL 33134",25.7478217,-80.2569252,33134,4.9,341,Gym,None,apify
Ghost Gym Miami,(786) 922-0006,http://ghostgymmiami.com/,"3020 SW 22nd St, Miami, FL 33145",25.7499398,-80.2426156,33145,4.9,190,Gym,None,apify
Iron Bodyfit Coral Gables,(786) 983-9889,https://ironbodyfit.us/locations/iron-bodyfit-coral-gables/,"1410 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7586607,-80.2592042,33134,5,101,Gym,None,apify
SWEAT440 Fitness Gables,(888) 507-9328,https://sweat440.com/gyms/florida/coral-gables-33146/?utm_source=GMB&utm_medium=organic&utm_campaign=coral+gables,"301 Altara Ave Ste 111, Coral Gables, FL 33146",25.7336441,-80.2617956,33146,4.9,314,Gym,None,apify
AIRLAB Fitness Coral Gables,(305) 396-8548,https://airlabfitness.com/coral-gables/,"35 Alhambra Plz, Coral Gables, FL 33134",25.7526427,-80.2553133,33134,5,36,Fitness center,None,apify
786 Fitness,(786) 370-0318,http://www.786fitness.com/,None,25.7116725,-80.2443544,None,5,89,Personal trainer,None,apify
Life Time,(786) 437-4400,https://www.lifetime.life/locations/fl/coral-gables.html?utm_source=google&utm_medium=local&utm_campaign=google-local-club,"237 S Dixie Hwy, Coral Gables, FL 33133",25.7283022,-80.260038,33133,3.8,256,Fitness center,None,apify
Equinox Coral Gables,(786) 497-8200,https://www.equinox.com/clubs/florida/coralgables?cid=gmb,"370 San Lorenzo Ave, Coral Gables, FL 33146",25.7318154,-80.2607785,33146,3.6,117,Gym,None,apify
TruFusion Coral Gables,(305) 851-5252,https://trufusion.com/coral-gables/,"301 Giralda Ave #5, Coral Gables, FL 33134",25.7513094,-80.2611423,33134,4.6,250,Yoga studio,None,apify
Corpolis,(786) 273-1400,http://corpolisfitnessclub.com/,"4701 SW 8th St, Coral Gables, FL 33134",25.7642677,-80.271596,33134,4.8,32,Fitness center,None,apify
54D STEEL Coral Gables,(786) 817-7008,https://54d.com/,"4212 Ponce de Leon Blvd, Coral Gables, FL 33146",25.7326917,-80.2588558,33146,5,28,Gym,None,apify
LEGACY,(305) 240-1096,https://legacyfit.com/,"22 Merrick Wy, Coral Gables, FL 33134",25.7504584,-80.2555241,33134,4.7,77,Gym,None,apify
BÜNDA Coral Gables,(305) 200-3117,https://www.trainbunda.com/,"25 Merrick Wy, Coral Gables, FL 33134",25.7505706,-80.255271,33134,4.5,140,Gym,None,apify
Body Hot Pilates,(786) 542-3059,https://bodyhotpilates.com/,"253 Giralda Ave, Coral Gables, FL 33134",25.7513089,-80.2594835,33134,4.9,454,Pilates studio,None,apify
Fitness1 Midtown,,,"3211 Ponce de Leon Blvd Ste 201, Coral Gables, FL 33134",25.7422652,-80.257993,33134,,,Fitness center,None,apify
Old Bull Athletics: 1 on 1 Personal Training and Physical Therapy at Coral Gables,(786) 615-3583,https://www.oldbullathletics.com/,"169 Majorca Ave, Coral Gables, FL 33134",25.7553799,-80.2582581,33134,5,148,Gym,None,apify
Rumble Boxing,(786) 863-5461,https://lp.rumbleboxinggym.com/offer?clubready_referraltypeid=112226,"111 Palermo Ave Ste 208, Coral Gables, FL 33134",25.7458529,-80.2571158,33134,4.6,47,Boxing gym,None,apify
LA Fitness,(305) 445-7140,https://www.lafitness.com/Pages/clubhome.aspx?clubid=712&utm_source=google&utm_medium=googlemaps&utm_campaign=maps,"3301 Coral Wy, Miami, FL 33145",25.750451,-80.2497308,33145,2.7,1189,Gym,None,apify
Lion Heart Boxing Gym,(786) 206-3555,http://lhboxing.com/,"804 Douglas Rd Ste 185, Coral Gables, FL 33134",25.7638709,-80.2570598,33134,5,124,Boxing gym,None,apify
Fidelity Bank,(919) 662-5173,https://www.fidelitybanknc.com/about-fidelity/locations/garner-nc/,"919 US-70, Garner, NC 27529",35.7142671,-78.6310806,27529,4.7,76,Bank,None,apify
Chase Bank,(305) 442-0089,https://www.chase.com/locator/banking/us/fl/coral-gables/355-alhambra-cir?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MjAzOTExMi03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"355 Alhambra Cir Ste 100, Coral Gables, FL 33134",25.7522,-80.2615,33134,3.5,32,Bank,None,apify
Ocean Bank,(305) 446-1919,https://www.oceanbank.com/,"2655 S Le Jeune Rd, Coral Gables, FL 33134",25.7474406,-80.2619868,33134,4.9,47,Bank,None,apify
Grove Bank & Trust,(305) 444-6665,http://www.grovebankandtrust.com/,"2151 S Le Jeune Rd #100, Coral Gables, FL 33134",25.752613,-80.262675,33134,5,10,Bank,None,apify
Chase Bank,(305) 442-8127,https://www.chase.com/locator/banking/us/fl/coral-gables/1300-ponce-de-leon-blvd?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MjAzOTExMy03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"1300 Ponce de Leon Blvd, Coral Gables, FL 33134",25.759244,-80.259204,33134,3.8,55,Bank,None,apify
Bank of America (with Drive-thru ATM),(305) 442-2787,https://locators.bankofamerica.com/fl/coralgables/financial-centers-coral-gables-9739.html?utm_source=GMBlisting&utm_medium=organic,"2308 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7510246,-80.2589732,33134,2.5,156,Bank,None,apify
Regions Bank,(305) 774-5671,https://www.regions.com/locator/fl/coral-gables/full-service-branch-2800-ponce-de-leon-blvd?cid=localListing_google,"2800 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7458884,-80.2592725,33134,4.3,50,Bank,None,apify
Seacoast Bank,(786) 814-4747,https://www.seacoastbank.com/locations/coral-gables-alhambra,"396 Alhambra Cir Ste 150, Coral Gables, FL 33134",25.7516747,-80.2620099,33134,3.6,10,Bank,None,apify
Chase Bank,(305) 444-0754,https://www.chase.com/locator/banking/us/fl/coral-gables/2740-coral-way?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MzAwNjY5MS03MTUtbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,"2740 Coral Wy, Coral Gables, FL 33145",25.7500322,-80.239447,33145,3.1,60,Bank,None,apify
City National Bank of Florida,(305) 445-1941,https://www.citynational.com/,"2855 S Le Jeune Rd, Coral Gables, FL 33134",25.7457806,-80.2621883,33134,3.7,26,Bank,None,apify
First American Bank,(305) 500-9501,https://www.firstambank.com/About/Connect/Branch-and-ATM-Locations/Coral-Gables-FL,"540 Biltmore Way, Coral Gables, FL 33134",25.7479781,-80.2653668,33134,4.3,20,Bank,None,apify
SouthState Bank,(786) 362-8560,https://www.southstatebank.com/global/location-detail/665/2-Alhambra-Plaza?utm_source=listings&utm_medium=local&utm_campaign=yext,"2 Alhambra Plz Ste 100B, Coral Gables, FL 33134",25.752126,-80.255234,33134,3.4,11,Bank,None,apify
Latino Community Credit Union,(919) 595-1800,http://www.latinoccu.org/,"4418 Fayetteville Rd, Raleigh, NC 27603",35.719875,-78.65654,27603,4,111,Credit union,None,apify
Wells Fargo Bank,(305) 569-1924,https://locations.wellsfargo.com/fl/coral-gables/2555-ponce-de-leon-blvd?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=AC21018,"2555 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7481415,-80.2581957,33134,3.5,39,Bank,None,apify
Citizens,(305) 341-2465,https://locations.citizensbank.com/fl/coral-gables/2222-ponce-de-leon-boulevard.html,"2222 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7514926,-80.2590082,33134,3.3,21,Bank,None,apify
First Citizens Bank,(305) 639-7200,https://locations.firstcitizens.com/fl/coral-gables/250-palermo-avenue,"250 Palermo Ave, Coral Gables, FL 33134",25.7452608,-80.2600804,33134,3.8,16,Bank,None,apify
Sunstate Bank,(305) 567-0600,https://www.sunstatefl.com/,"2901 S Le Jeune Rd, Coral Gables, FL 33134",25.7451492,-80.2622941,33134,4,9,Bank,None,apify
Synovus Bank,(888) 796-6887,https://www.synovus.com/locations/usa/fl/coral-gables/121-alhambra-plaza/,"121 Alhambra Plz, Coral Gables, FL 33134",25.7525528,-80.2570524,33134,5,3,Bank,None,apify
PNC Bank,(919) 661-3320,https://locator.pnc.com/en/details/nc/garner/branch/1027-us-70-hwy-w?lnksrc=branch-listing-google,"1027 US-70, Garner, NC 27529",35.7158816,-78.6338764,27529,3,26,Bank,None,apify
Flagstar Bank,(305) 774-0049,https://www.flagstar.com/coral-gables-flagstar-bank-florida-2240.html,"2701 Ponce de Leon Blvd, Coral Gables, FL 33134",25.7469444,-80.2582255,33134,4.2,16,Bank,None,apify
First National Bank,(919) 662-7330,https://locations.fnb-online.com/nc/garner/945-vandora-springs-rd.?utm_source=GBP&utm_medium=organic,"945 Vandora Springs Rd, Garner, NC 27529",35.7088684,-78.6240072,27529,2.9,7,Bank,None,apify
Wells Fargo Bank,(919) 772-7400,https://locations.wellsfargo.com/nc/garner/1225-us-hwy-70-w?utm_campaign=Local_Listings&utm_source=Google&group=Community_Bank&loc=AC23146,"1225 US-70, Garner, NC 27529",35.7175994,-78.6372705,27529,3,67,Bank,None,apify
Navy Federal Credit Union,(888) 842-6328,https://www.navyfederal.org/branches-atms/locations/usa/nc/garner/gnr.html,"21 Eagle Wing Way, Garner, NC 27529",35.6983631,-78.5885589,27529,3.9,66,Bank,None,apify
Chase Bank,(984) 275-6830,https://www.chase.com/locator/banking/us/nc/garner/52-eagle-wing-way?jp_cmp=rb%2FLocalListings%2Faff%2Fbranch%2Fna&y_source=1_MTk0OTU5NTgtNzE1LWxvY2F0aW9uLndlYnNpdGU%3D,"52 Eagle Wing Way, Garner, NC 27529",35.6973553,-78.5854448,27529,3,61,Bank,None,apify
Woodforest National Bank,(919) 662-0180,http://www.woodforest.com/,"4500 Fayetteville Rd, Raleigh, NC 27603",35.7193386,-78.6591054,27603,4.8,235,Bank,None,apify
Fifth Third Bank & ATM,(919) 793-2580,https://locations.53.com/nc/garner/1145-us-highway-70-west.html,"1145 US-70, Garner, NC 27529",35.7167638,-78.6354496,27529,2.6,38,Bank,None,apify
Chase Bank,(984) 301-7040,https://www.chase.com/locator/banking/us/nc/garner/1480-us-70-hwy-w,"1480 US-70, Garner, NC 27529",35.722312,-78.643892,27529,4,4,Bank,None,apify
